Feature,Importance,Percentage,Cumulative
feature_3,0.066607006,6.660701,6.660701
feature_7,0.047801655,4.7801657,11.440866
feature_1,0.038974922,3.8974922,15.338359
feature_23,0.034946762,3.494676,18.833035
feature_11,0.032451134,3.2451134,22.078148
feature_22,0.032135643,3.2135644,25.291712
feature_9,0.032124132,3.2124133,28.504126
feature_26,0.03127482,3.1274822,31.631607
feature_16,0.030664416,3.0664415,34.698048
feature_2,0.030623287,3.0623288,37.760376
feature_20,0.03032357,3.032357,40.792732
feature_12,0.030052733,3.0052733,43.798004
feature_21,0.029915228,2.9915228,46.789528
feature_30,0.029273015,2.9273014,49.716827
feature_4,0.028497411,2.849741,52.566566
feature_0,0.027992306,2.7992306,55.3658
feature_5,0.027901618,2.7901618,58.15596
feature_13,0.026773332,2.677333,60.833294
feature_25,0.025907857,2.5907857,63.42408
feature_24,0.024831219,2.4831219,65.9072
feature_18,0.02481314,2.481314,68.38852
feature_8,0.024690881,2.469088,70.857605
feature_29,0.023017842,2.3017843,73.159386
feature_27,0.022010203,2.2010202,75.360405
feature_10,0.021868303,2.1868303,77.54723
feature_36,0.0216237,2.1623702,79.7096
feature_14,0.02044721,2.044721,81.754326
feature_34,0.020407172,2.0407171,83.795044
feature_35,0.020142958,2.0142958,85.80934
feature_28,0.01996907,1.996907,87.80625
feature_19,0.01928325,1.9283249,89.73457
feature_15,0.018457327,1.8457327,91.58031
feature_33,0.01839518,1.839518,93.41982
feature_32,0.01807205,1.807205,95.22703
feature_17,0.01682861,1.682861,96.90989
feature_31,0.01670598,1.670598,98.58049
feature_37,0.014195063,1.4195063,100.0
feature_6,0.0,0.0,100.0
